0.204 16067 -70 0
0.524 16067 -70 -0
0.735 16067 -70 -0
0.995 16067 -70 -0
0.995 16067 -70 -0
1.233 16067 -70 -0
1.499 16067 -70 -0
1.763 16067 -70 -0
1.763 16067 -70 -0
2.025 16067 -70 -0
2.276 16067 -70 -0
2.533 16067 -70 -0
2.533 16067 -70 -0
2.834 16138 -70 -0.049289
3.084 16265 -70 -0.073227
3.3 16393 -70 -0.063766
3.548 16522 -70 -0.073785
3.548 16522 -70 -0
3.804 16650 -70 -0.075575
4.094 16779 -70 -0.086281
4.372 16907 -70 -0.082069
4.581 17036 -70 -0.062182
4.581 17036 -70 -0
4.881 17164 -70 -0.088564
5.089 17293 -70 -0.061884
5.089 17293 -70 -0
5.404 17421 -70 -0.092992
5.617 17550 -70 -0.063372
5.866 17678 -70 -0.073508
6.155 17807 -70 -0.085983
6.393 17935 -70 -0.070261
6.393 17935 -70 -0
6.675 18064 -70 -0.0839
6.932 18192 -70 -0.07587
7.148 18321 -70 -0.064264
7.148 18321 -70 -0
7.446 18449 -70 -0.087974
7.669 18578 -70 -0.066347
7.959 18706 -70 -0.085612
8.174 18835 -70 -0.063967
8.174 18835 -70 -0
8.432 18963 -70 -0.076165
8.727 19092 -70 -0.087768
8.942 19220 -70 -0.063471
8.942 19220 -70 -0
9.244 19349 -70 -0.089851
9.466 19477 -70 -0.065537
9.728 19606 -70 -0.07795
9.995 19736 -70 -0.080054
9.995 19736 -70 -0
10.234 19865 -70 -0.071107
10.522 19993 -70 -0.085021
10.78 20122 -70 -0.07676
10.78 20122 -70 -0
11.017 20250 -70 -0.069966
11.266 20379 -70 -0.074082
11.531 20507 -70 -0.078231
11.531 20507 -70 -0
11.802 20636 -70 -0.080628
12.074 20764 -70 -0.080298
12.302 20896 0 0
12.564 21045 0 0
12.564 21045 0 0
12.806 21195 0 0
13.089 21345 0 0
13.351 21494 0 0
13.584 21643 0 0
13.584 21643 0 0
13.846 21792 0 0
14.08 21943 -20 -0.029661
14.351 22091 -20 -0.033668
14.598 22240 -20 -0.030894
14.598 22240 -20 -0
14.862 22410 -20 -0.037674
15.132 22580 -20 -0.03853
15.385 22745 -20 -0.035043
15.385 22745 -20 -0
15.631 22896 -20 -0.031182
15.923 23051 -20 -0.037993
16.134 23202 -20 -0.026746
16.134 23202 -20 -0
16.41 23353 -20 -0.034985
16.645 23499 -20 -0.028801
16.91 23655 -20 -0.034703
17.188 23807 -20 -0.035472
17.188 23807 -20 -0
17.428 23958 -20 -0.030421
17.702 24111 -20 -0.035191
17.945 24263 -20 -0.031006
17.945 24263 -20 -0
18.203 24398 -20 -0.029238
18.455 24527 -20 -0.027289
18.712 24655 -20 -0.027614
18.976 24782 -20 -0.028145
18.976 24782 -20 -0
19.215 24911 -20 -0.025881
19.467 25040 -20 -0.027289
19.735 25170 -20 -0.029246
19.985 25298 -20 -0.026862
19.985 25298 -20 -0
20.292 25427 -20 -0.033244
20.506 25554 -20 -0.022814
20.757 25683 -20 -0.02718
20.757 25683 -20 -0
21.026 25811 -20 -0.028904
21.295 25940 -20 -0.02913
21.555 26068 -20 -0.027937
21.785 26197 -20 -0.024906
21.785 26197 -20 -0
22.042 26329 -20 -0.028477
22.292 26480 -20 -0.031689
22.565 26646 -20 -0.038042
22.565 26646 -20 -0
22.821 26817 -20 -0.036747
23.076 26972 -20 -0.033179
23.328 27123 -20 -0.031943
23.328 27123 -20 -0
23.611 27273 -20 -0.035634
