0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.0155482 -4.26269e-05 -0.00274158
0.0347335 -0.000160129 -0.00612452
0.0491677 -0.000285273 -0.00866975
0.0683434 -0.000516375 -0.0120512
0.0683434 -0.000516375 -0.0120512
0.0886169 -0.000833202 -0.0156264
0.114834 -0.00136418 -0.0202502
0.138738 -0.00194912 -0.0244663
0.152353 -0.00231502 -0.0268678
0.152353 -0.00231502 -0.0268678
0.180183 -0.00319971 -0.0317776
0.193665 -0.00366038 -0.0341562
0.193665 -0.00366038 -0.0341562
0.22434 -0.0048748 -0.0395693
0.238474 -0.00546966 -0.0420636
0.257636 -0.00634112 -0.045446
0.283646 -0.00764367 -0.0500379
0.301146 -0.0085743 -0.053128
0.301146 -0.0085743 -0.053128
0.325901 -0.00999928 -0.0575002
0.346298 -0.0112471 -0.0611034
0.360816 -0.0121727 -0.0636685
0.360816 -0.0121727 -0.0636685
0.388226 -0.0140536 -0.068513
0.403692 -0.0151574 -0.0712471
0.429637 -0.0171287 -0.075835
0.444006 -0.0182572 -0.0783765
0.444006 -0.0182572 -0.0783765
0.46453 -0.0199442 -0.0820077
0.491563 -0.0222963 -0.0867923
0.505807 -0.0235719 -0.089314
0.505807 -0.0235719 -0.089314
0.534119 -0.0262504 -0.0943284
0.549295 -0.0277274 -0.097017
0.57059 -0.029881 -0.100791
0.592867 -0.032223 -0.104741
0.592867 -0.032223 -0.104741
0.610574 -0.0341407 -0.107881
0.636074 -0.0370192 -0.112406
0.656689 -0.0394227 -0.116066
0.656689 -0.0394227 -0.116066
0.673944 -0.041488 -0.11913
0.693131 -0.043851 -0.122539
0.714685 -0.0465893 -0.12637
0.714685 -0.0465893 -0.12637
0.737389 -0.0495671 -0.130407
0.760073 -0.0526352 -0.134444
0.776502 -0.0549064 -0.137368
0.800976 -0.0583984 -0.141727
0.800976 -0.0583984 -0.141727
0.821985 -0.0614763 -0.145471
0.850693 -0.0658326 -0.150591
0.875119 -0.0696479 -0.15495
0.894426 -0.072732 -0.158398
0.894426 -0.072732 -0.158398
