0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0053993,8.011e-05,0.014836
0.012059,0.0003009,0.033143
0.017066,0.00053601,0.046916
0.023712,0.00097005,0.065215
0.023712,0.00097005,0.065215
0.030729,0.0015648,0.084562
0.039781,0.0025608,0.10958
0.048013,0.003657,0.1324
0.052693,0.0043423,0.14539
0.052693,0.0043423,0.14539
0.062221,0.0059971,0.17196
0.066826,0.0068581,0.18484
0.066826,0.0068581,0.18484
0.077244,0.0091237,0.21413
0.08203,0.010232,0.22763
0.088492,0.011854,0.24593
0.097206,0.014273,0.27078
0.10304,0.015999,0.2875
0.10304,0.015999,0.2875
0.11124,0.018636,0.31116
0.11795,0.02094,0.33066
0.12271,0.022646,0.34454
0.12271,0.022646,0.34454
0.1316,0.026104,0.37076
0.13659,0.028129,0.38555
0.14488,0.031734,0.41038
0.14944,0.033794,0.42413
0.14944,0.033794,0.42413
0.1559,0.036865,0.44378
0.1643,0.04113,0.46967
0.1687,0.043438,0.48332
0.1687,0.043438,0.48332
0.17732,0.048263,0.51046
0.1819,0.050918,0.525
0.18826,0.054774,0.54543
0.19482,0.058951,0.5668
0.19482,0.058951,0.5668
0.19998,0.062361,0.5838
0.20729,0.067454,0.60828
0.21313,0.071689,0.62809
0.21313,0.071689,0.62809
0.21795,0.075316,0.64467
0.22324,0.079449,0.66312
0.22909,0.084216,0.68385
0.22909,0.084216,0.68385
0.23514,0.089374,0.7057
0.24108,0.09466,0.72754
0.25366,0.10586,0.72754
0.2724,0.12256,0.72754
0.2724,0.12256,0.72754
0.28851,0.13689,0.72754
0.31053,0.1565,0.72754
0.32927,0.1732,0.72754
0.3441,0.1864,0.72754
0.3441,0.1864,0.72754
0.36285,0.20309,0.72754
0.37718,0.21568,0.7206
0.39616,0.23205,0.71147
0.41215,0.24561,0.70384
0.41215,0.24561,0.70384
0.43315,0.26309,0.6939
0.45532,0.28114,0.68349
0.47434,0.29635,0.67463
0.47434,0.29635,0.67463
0.4909,0.30939,0.66696
0.51506,0.32798,0.65586
0.5274,0.33737,0.65022
0.5274,0.33737,0.65022
0.54867,0.35322,0.64056
0.56365,0.36423,0.63379
0.58415,0.37901,0.6246
0.60628,0.39463,0.61474
0.60628,0.39463,0.61474
0.62275,0.40608,0.60744
0.64465,0.42099,0.59779
0.66185,0.43252,0.59026
0.66185,0.43252,0.59026
0.67915,0.44392,0.58272
0.695,0.45421,0.57584
0.71143,0.46471,0.56874
0.72871,0.47558,0.56131
0.72871,0.47558,0.56131
0.74315,0.48453,0.55513
0.75928,0.49438,0.54825
0.77774,0.50546,0.54041
0.79363,0.51485,0.5337
0.79363,0.51485,0.5337
0.81791,0.52886,0.52349
0.82956,0.53551,0.51861
0.84591,0.54469,0.51179
0.84591,0.54469,0.51179
0.86461,0.55501,0.50401
0.88354,0.56526,0.49618
0.90116,0.57463,0.48891
0.9151,0.58194,0.48318
0.9151,0.58194,0.48318
0.93297,0.59116,0.47586
0.9524,0.60097,0.46794
0.978,0.61358,0.45756
0.978,0.61358,0.45756
1.0013,0.62478,0.44815
1.0223,0.63467,0.43969
1.0424,0.64392,0.43164
1.0424,0.64392,0.43164
1.0677,0.65526,0.42155
1.0848,0.66281,0.41474
1.1043,0.6712,0.40702
1.125,0.67992,0.39885
1.125,0.67992,0.39885
1.1542,0.69183,0.38738
1.1684,0.69753,0.3818
1.1878,0.70517,0.3742
1.1878,0.70517,0.3742
1.2183,0.71673,0.36233
1.2336,0.72243,0.35638
1.2555,0.73037,0.3479
1.2726,0.73644,0.3413
1.2726,0.73644,0.3413
1.2922,0.74323,0.33376
1.3135,0.75043,0.32557
1.3289,0.75551,0.31969
1.3289,0.75551,0.31969
1.3542,0.76363,0.31
1.3677,0.76787,0.30485
1.3923,0.77536,0.2955
1.3923,0.77536,0.2955
1.4131,0.7815,0.28761
1.4253,0.78506,0.28297
1.4499,0.79196,0.27369
1.4628,0.79551,0.26882
1.4843,0.80126,0.26069
1.4843,0.80126,0.26069
1.5069,0.80709,0.2522
1.5217,0.8108,0.24667
1.5431,0.816,0.23865
1.5431,0.816,0.23865
1.5599,0.81998,0.23237
1.5865,0.82627,0.23237
1.6171,0.83352,0.23237
1.6375,0.83835,0.23237
1.6375,0.83835,0.23237
1.6606,0.84382,0.23237
1.6855,0.84971,0.23237
1.7082,0.85507,0.23237
1.7082,0.85507,0.23237
1.7327,0.86088,0.23237
1.7551,0.86617,0.23237
1.7854,0.87335,0.23237
1.8002,0.87684,0.23237
1.8002,0.87684,0.23237
1.8213,0.88185,0.23237
1.847,0.88792,0.23237
1.8684,0.89299,0.23237
1.8684,0.89299,0.23237
1.8917,0.8985,0.23237
1.9077,0.9023,0.23237
1.9273,0.90693,0.23237
1.9516,0.91268,0.23237
1.9516,0.91268,0.23237
1.969,0.91681,0.23237
1.9881,0.92133,0.23237
2.0114,0.92684,0.23237
2.0295,0.93111,0.23237
2.0295,0.93111,0.23237
2.0533,0.93675,0.23237
2.0802,0.94312,0.23237
2.1037,0.94867,0.23237
2.1037,0.94867,0.23237
2.1265,0.95406,0.23237
2.1492,0.95945,0.23237
2.1765,0.96591,0.23237
2.1765,0.96591,0.23237
2.1976,0.9709,0.23237
2.2246,0.97728,0.23237
2.2518,0.98373,0.23237
2.2736,0.98888,0.23237
2.2736,0.98888,0.23237
2.2984,0.99475,0.23237
2.3202,0.99991,0.23237
2.3508,1.0071,0.23237
2.3651,1.0105,0.23237
